decade,state,Newspeak_Index
1980s,California,
1980s,Colorado,
1980s,Connecticut,
1980s,Florida,
1980s,Illinois,
1980s,Indiana,
1980s,Louisiana,
1980s,Nebraska,
1980s,New Jersey,
1980s,New York,
1980s,North Carolina,
1980s,North Dakota,
1980s,Oklahoma,
1980s,Pennsylvania,
1980s,South Dakota,
1980s,Unknown,
1990s,Alaska,0.0
1990s,California,0.0
1990s,Colorado,0.0
1990s,Connecticut,0.0
1990s,Florida,0.0
1990s,Indiana,0.0
1990s,Kansas,0.0
1990s,Massachusetts,0.0
1990s,Mississippi,0.0
1990s,New,0.0
1990s,North Carolina,0.0
1990s,Texas,0.0
1990s,Unknown,0.0
1990s,Virginia,0.0
2000s,California,0.0424351288890585
2000s,Colorado,0.0424351288890585
2000s,Connecticut,0.0424351288890585
2000s,Florida,0.0424351288890585
2000s,Georgia,0.0424351288890585
2000s,Illinois,0.0424351288890585
2000s,Indiana,0.0424351288890585
2000s,Iowa,0.0424351288890585
2000s,Kansas,0.0424351288890585
2000s,Kentucky,0.0424351288890585
2000s,Massachusetts,0.0424351288890585
2000s,Mississippi,0.0424351288890585
2000s,Missouri,0.0424351288890585
2000s,NeW,0.0424351288890585
2000s,New Jersey,0.0424351288890585
2000s,New Mexico,0.0424351288890585
2000s,New York,0.0424351288890585
2000s,North Carolina,0.0424351288890585
2000s,Ohio,0.0424351288890585
2000s,Oklahoma,0.0424351288890585
2000s,Pennsyl,0.0424351288890585
2000s,South Carolina,0.0424351288890585
2000s,Texas,0.0424351288890585
2000s,Unknown,0.0424351288890585
2000s,Vermont,0.0424351288890585
2000s,Virginia,0.0424351288890585
2000s,Washington,0.0424351288890585
2000s,Wisconsin,0.0424351288890585
2010s,California,0.0493543518780162
2010s,Colorado,0.0493543518780162
2010s,Connecticut,0.0493543518780162
2010s,Florida,0.0493543518780162
2010s,Georgia,0.0493543518780162
2010s,Illinois,0.0493543518780162
2010s,Iowa,0.0493543518780162
2010s,Kansas,0.0493543518780162
2010s,Massachusetts,0.0493543518780162
2010s,Michigan,0.0493543518780162
2010s,Mississippi,0.0493543518780162
2010s,Missouri,0.0493543518780162
2010s,New Jersey,0.0493543518780162
2010s,New Mexico,0.0493543518780162
2010s,New York,0.0493543518780162
2010s,North Carolina,0.0493543518780162
2010s,Ohio,0.0493543518780162
2010s,Pennsylvania,0.0493543518780162
2010s,South Carolina,0.0493543518780162
2010s,Texas,0.0493543518780162
2010s,Unknown,0.04935435187801619
2010s,Utah,0.0493543518780162
2010s,Virginia,0.0493543518780162
2010s,Washington,0.0493543518780162
2010s,Wisconsin,0.0493543518780162
